chen_sample_label,sample,assay,assay_set,treatment,rep,time,total_raw_count
hBFA1-21C-R1-Time8,hBFA1:21C-R1-T8,hBFA1:21C-R1,hBFA1,21C,R1,1.0,1917150
hBFA1-21C-R1-Time16,hBFA1:21C-R1-T16,hBFA1:21C-R1,hBFA1,21C,R1,2.0,2168035
hBFA1-21C-R1-Time24,hBFA1:21C-R1-T24,hBFA1:21C-R1,hBFA1,21C,R1,3.0,2068099
hBFA1-21C-R1-Time40,hBFA1:21C-R1-T40,hBFA1:21C-R1,hBFA1,21C,R1,5.0,2118452
hBFA1-21C-R2-Time8,hBFA1:21C-R2-T8,hBFA1:21C-R2,hBFA1,21C,R2,1.0,2111700
hBFA1-21C-R2-Time16,hBFA1:21C-R2-T16,hBFA1:21C-R2,hBFA1,21C,R2,2.0,2150472
hBFA1-21C-R2-Time24,hBFA1:21C-R2-T24,hBFA1:21C-R2,hBFA1,21C,R2,3.0,2022493
hBFA1-21C-R2-Time40,hBFA1:21C-R2-T40,hBFA1:21C-R2,hBFA1,21C,R2,5.0,2465801
hBFA1-37C-R1-Time8,hBFA1:37C-R1-T8,hBFA1:37C-R1,hBFA1,37C,R1,1.0,1816186
hBFA1-37C-R1-Time16,hBFA1:37C-R1-T16,hBFA1:37C-R1,hBFA1,37C,R1,2.0,1992657
hBFA1-37C-R1-Time24,hBFA1:37C-R1-T24,hBFA1:37C-R1,hBFA1,37C,R1,3.0,2071290
hBFA1-37C-R1-Time40,hBFA1:37C-R1-T40,hBFA1:37C-R1,hBFA1,37C,R1,5.0,2032937
hBFA1-37C-R2-Time8,hBFA1:37C-R2-T8,hBFA1:37C-R2,hBFA1,37C,R2,1.0,2408886
hBFA1-37C-R2-Time16,hBFA1:37C-R2-T16,hBFA1:37C-R2,hBFA1,37C,R2,2.0,2371746
hBFA1-37C-R2-Time24,hBFA1:37C-R2-T24,hBFA1:37C-R2,hBFA1,37C,R2,3.0,1886703
hBFA1-37C-R2-Time40,hBFA1:37C-R2-T40,hBFA1:37C-R2,hBFA1,37C,R2,5.0,2169673
hBFA1-48Hr-R1-Time8,hBFA1:48Hr-R1-T8,hBFA1:48Hr-R1,hBFA1,48Hr,R1,1.0,1374578
hBFA1-48Hr-R1-Time16,hBFA1:48Hr-R1-T16,hBFA1:48Hr-R1,hBFA1,48Hr,R1,2.0,2073939
hBFA1-48Hr-R1-Time24,hBFA1:48Hr-R1-T24,hBFA1:48Hr-R1,hBFA1,48Hr,R1,3.0,1913013
hBFA1-48Hr-R1-Time40,hBFA1:48Hr-R1-T40,hBFA1:48Hr-R1,hBFA1,48Hr,R1,5.0,2727518
hBFA1-48Hr-R2-Time8,hBFA1:48Hr-R2-T8,hBFA1:48Hr-R2,hBFA1,48Hr,R2,1.0,2527232
hBFA1-48Hr-R2-Time16,hBFA1:48Hr-R2-T16,hBFA1:48Hr-R2,hBFA1,48Hr,R2,2.0,2122894
hBFA1-48Hr-R2-Time24,hBFA1:48Hr-R2-T24,hBFA1:48Hr-R2,hBFA1,48Hr,R2,3.0,2181970
hBFA1-48Hr-R2-Time40,hBFA1:48Hr-R2-T40,hBFA1:48Hr-R2,hBFA1,48Hr,R2,5.0,2019366
hBFA1-FLC4-R2-Time8,hBFA1:FLC4-R2-T8,hBFA1:FLC4-R2,hBFA1,FLC4,R2,1.0,810857
hBFA1-FLC4-R2-Time24,hBFA1:FLC4-R2-T24,hBFA1:FLC4-R2,hBFA1,FLC4,R2,3.0,450288
hBFA1-FLC4-R2-Time40,hBFA1:FLC4-R2-T40,hBFA1:FLC4-R2,hBFA1,FLC4,R2,5.0,501961
hBFA1-GlyEtOH-R1-Time8,hBFA1:GlyEtOH-R1-T8,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,1.0,1648916
hBFA1-GlyEtOH-R1-Time16,hBFA1:GlyEtOH-R1-T16,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,2.0,1563435
hBFA1-GlyEtOH-R1-Time40,hBFA1:GlyEtOH-R1-T40,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,5.0,2457444
hBFA1-GlyEtOH-R2-Time8,hBFA1:GlyEtOH-R2-T8,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,1.0,1729100
hBFA1-GlyEtOH-R2-Time16,hBFA1:GlyEtOH-R2-T16,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,2.0,3351420
hBFA1-GlyEtOH-R2-Time24,hBFA1:GlyEtOH-R2-T24,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,3.0,2923374
hBFA1-GlyEtOH-R2-Time40,hBFA1:GlyEtOH-R2-T40,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,5.0,2283582
hBFA1-SC-R1-Time8,hBFA1:SC-R1-T8,hBFA1:SC-R1,hBFA1,SC,R1,1.0,1575308
hBFA1-SC-R1-Time16,hBFA1:SC-R1-T16,hBFA1:SC-R1,hBFA1,SC,R1,2.0,1552685
hBFA1-SC-R1-Time24,hBFA1:SC-R1-T24,hBFA1:SC-R1,hBFA1,SC,R1,3.0,1584986
hBFA1-SC-R1-Time40,hBFA1:SC-R1-T40,hBFA1:SC-R1,hBFA1,SC,R1,5.0,1558740
hBFA1-SC-R2-Time8,hBFA1:SC-R2-T8,hBFA1:SC-R2,hBFA1,SC,R2,1.0,1883034
hBFA1-SC-R2-Time16,hBFA1:SC-R2-T16,hBFA1:SC-R2,hBFA1,SC,R2,2.0,1737092
hBFA1-SC-R2-Time24,hBFA1:SC-R2-T24,hBFA1:SC-R2,hBFA1,SC,R2,3.0,1867711
hBFA1-SC-R2-Time40,hBFA1:SC-R2-T40,hBFA1:SC-R2,hBFA1,SC,R2,5.0,1759607
hBFA1-YPD-R1-Time8,hBFA1:YPD-R1-T8,hBFA1:YPD-R1,hBFA1,YPD,R1,1.0,1328214
hBFA1-YPD-R1-Time16,hBFA1:YPD-R1-T16,hBFA1:YPD-R1,hBFA1,YPD,R1,2.0,1884894
hBFA1-YPD-R1-Time24,hBFA1:YPD-R1-T24,hBFA1:YPD-R1,hBFA1,YPD,R1,3.0,3388195
hBFA1-YPD-R1-Time40,hBFA1:YPD-R1-T40,hBFA1:YPD-R1,hBFA1,YPD,R1,5.0,1850120
hBFA1-YPD-R2-Time8,hBFA1:YPD-R2-T8,hBFA1:YPD-R2,hBFA1,YPD,R2,1.0,1712142
hBFA1-YPD-R2-Time16,hBFA1:YPD-R2-T16,hBFA1:YPD-R2,hBFA1,YPD,R2,2.0,1996011
hBFA1-YPD-R2-Time24,hBFA1:YPD-R2-T24,hBFA1:YPD-R2,hBFA1,YPD,R2,3.0,1847952
hBFA1-YPD-R2-Time40,hBFA1:YPD-R2-T40,hBFA1:YPD-R2,hBFA1,YPD,R2,5.0,2023457
hBFA1-pH3_8-R1-Time8,hBFA1:pH3.8-R1-T8,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,1.0,1952835
hBFA1-pH3_8-R1-Time16,hBFA1:pH3.8-R1-T16,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,2.0,2204561
hBFA1-pH3_8-R1-Time24,hBFA1:pH3.8-R1-T24,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,3.0,2539318
hBFA1-pH3_8-R1-Time40,hBFA1:pH3.8-R1-T40,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,5.0,2296210
hBFA1-pH3_8-R2-Time8,hBFA1:pH3.8-R2-T8,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,1.0,1711136
hBFA1-pH3_8-R2-Time16,hBFA1:pH3.8-R2-T16,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,2.0,2404233
hBFA1-pH3_8-R2-Time24,hBFA1:pH3.8-R2-T24,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,3.0,2823044
hBFA1-pH3_8-R2-Time40,hBFA1:pH3.8-R2-T40,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,5.0,3102324
hBFA1-pH7_3-R1-Time8,hBFA1:pH7.3-R1-T8,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,1.0,2499948
hBFA1-pH7_3-R1-Time16,hBFA1:pH7.3-R1-T16,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,2.0,2244076
hBFA1-pH7_3-R1-Time24,hBFA1:pH7.3-R1-T24,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,3.0,2563277
hBFA1-pH7_3-R1-Time40,hBFA1:pH7.3-R1-T40,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,5.0,2719186
hBFA1-pH7_3-R2-Time8,hBFA1:pH7.3-R2-T8,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,1.0,2757245
hBFA1-pH7_3-R2-Time16,hBFA1:pH7.3-R2-T16,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,2.0,2680456
hBFA1-pH7_3-R2-Time24,hBFA1:pH7.3-R2-T24,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,3.0,2585981
hBFA1-pH7_3-R2-Time40,hBFA1:pH7.3-R2-T40,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,5.0,2769573
