chen_sample_label,sample,assay,assay_set,treatment,rep,time,total_raw_count,bias_prevalence,normalization_factor
hBFA1-21C-R1-Time8,hBFA1:21C-R1-T8,hBFA1:21C-R1,hBFA1,21C,R1,1.0,1917150,0.1870953768796899,688.5991799077397
hBFA1-21C-R1-Time16,hBFA1:21C-R1-T16,hBFA1:21C-R1,hBFA1,21C,R1,2.0,2168035,-0.08948975948835874,788.7162094980496
hBFA1-21C-R1-Time24,hBFA1:21C-R1-T24,hBFA1:21C-R1,hBFA1,21C,R1,3.0,2068099,0.37107873668832914,740.6216127932995
hBFA1-21C-R1-Time40,hBFA1:21C-R1-T40,hBFA1:21C-R1,hBFA1,21C,R1,5.0,2118452,-0.4686843540796604,607.3946694003075
hBFA1-21C-R2-Time8,hBFA1:21C-R2-T8,hBFA1:21C-R2,hBFA1,21C,R2,1.0,2111700,0.47807836577689355,741.802192326856
hBFA1-21C-R2-Time16,hBFA1:21C-R2-T16,hBFA1:21C-R2,hBFA1,21C,R2,2.0,2150472,0.10725250142250475,769.9275242222081
hBFA1-21C-R2-Time24,hBFA1:21C-R2-T24,hBFA1:21C-R2,hBFA1,21C,R2,3.0,2022493,0.18207820537407393,715.2633061584041
hBFA1-21C-R2-Time40,hBFA1:21C-R2-T40,hBFA1:21C-R2,hBFA1,21C,R2,5.0,2465801,-0.7674090725734722,670.1121076233184
hBFA1-37C-R1-Time8,hBFA1:37C-R1-T8,hBFA1:37C-R1,hBFA1,37C,R1,1.0,1816186,5.139650073858128,631.2783505154639
hBFA1-37C-R1-Time16,hBFA1:37C-R1-T16,hBFA1:37C-R1,hBFA1,37C,R1,2.0,1992657,0.9572643777068341,736.2125453844905
hBFA1-37C-R1-Time24,hBFA1:37C-R1-T24,hBFA1:37C-R1,hBFA1,37C,R1,3.0,2071290,-2.9495133677419947,730.700031535292
hBFA1-37C-R1-Time40,hBFA1:37C-R1-T40,hBFA1:37C-R1,hBFA1,37C,R1,5.0,2032937,-3.1474010838229685,579.5474226804124
hBFA1-37C-R2-Time8,hBFA1:37C-R2-T8,hBFA1:37C-R2,hBFA1,37C,R2,1.0,2408886,-3.3495880294762372,840.592725409836
hBFA1-37C-R2-Time16,hBFA1:37C-R2-T16,hBFA1:37C-R2,hBFA1,37C,R2,2.0,2371746,-2.7422068625553258,865.1269710795677
hBFA1-37C-R2-Time24,hBFA1:37C-R2-T24,hBFA1:37C-R2,hBFA1,37C,R2,3.0,1886703,8.095909277384221,623.1575531455143
hBFA1-37C-R2-Time40,hBFA1:37C-R2-T40,hBFA1:37C-R2,hBFA1,37C,R2,5.0,2169673,-2.0041143853526586,611.0855532786885
hBFA1-48Hr-R1-Time8,hBFA1:48Hr-R1-T8,hBFA1:48Hr-R1,hBFA1,48Hr,R1,1.0,1374578,7.912187631723448,477.1888256595965
hBFA1-48Hr-R1-Time16,hBFA1:48Hr-R1-T16,hBFA1:48Hr-R1,hBFA1,48Hr,R1,2.0,2073939,-2.537313579118573,720.9311114268696
hBFA1-48Hr-R1-Time24,hBFA1:48Hr-R1-T24,hBFA1:48Hr-R1,hBFA1,48Hr,R1,3.0,1913013,-2.144406284521958,628.8188192628508
