chen_sample_label,sample,assay,assay_set,treatment,rep,time,total_raw_count,bias_prevalence,normalization_factor
hBFA1-21C-R1-Time8,hBFA1:21C-R1-T8,hBFA1:21C-R1,hBFA1,21C,R1,1.0,1917150,-0.10698604351228824,688.5991799077397
hBFA1-21C-R1-Time16,hBFA1:21C-R1-T16,hBFA1:21C-R1,hBFA1,21C,R1,2.0,2168035,-0.07498803630709312,791.1084302519603
hBFA1-21C-R1-Time24,hBFA1:21C-R1-T24,hBFA1:21C-R1,hBFA1,21C,R1,3.0,2068099,0.2762637102046348,732.9276426434478
hBFA1-21C-R1-Time40,hBFA1:21C-R1-T40,hBFA1:21C-R1,hBFA1,21C,R1,5.0,2118452,-0.14332771823402954,607.3946694003075
hBFA1-21C-R2-Time8,hBFA1:21C-R2-T8,hBFA1:21C-R2,hBFA1,21C,R2,1.0,2111700,-0.13542890842410407,741.802192326856
hBFA1-21C-R2-Time16,hBFA1:21C-R2-T16,hBFA1:21C-R2,hBFA1,21C,R2,2.0,2150472,-0.0332490692172545,771.8780428944793
hBFA1-21C-R2-Time24,hBFA1:21C-R2-T24,hBFA1:21C-R2,hBFA1,21C,R2,3.0,2022493,0.23291687773203504,709.7099565805536
hBFA1-21C-R2-Time40,hBFA1:21C-R2-T40,hBFA1:21C-R2,hBFA1,21C,R2,5.0,2465801,-0.08663040325850101,670.1121076233184
hBFA1-37C-R1-Time8,hBFA1:37C-R1-T8,hBFA1:37C-R1,hBFA1,37C,R1,1.0,1816186,1.6597599873296167,631.2783505154639
hBFA1-37C-R1-Time16,hBFA1:37C-R1-T16,hBFA1:37C-R1,hBFA1,37C,R1,2.0,1992657,-0.3601235860215171,735.886242209262
hBFA1-37C-R1-Time24,hBFA1:37C-R1-T24,hBFA1:37C-R1,hBFA1,37C,R1,3.0,2071290,-2.725562719767876,735.1959287861995
hBFA1-37C-R1-Time40,hBFA1:37C-R1-T40,hBFA1:37C-R1,hBFA1,37C,R1,5.0,2032937,1.446765508288955,579.5474226804124
hBFA1-37C-R2-Time8,hBFA1:37C-R2-T8,hBFA1:37C-R2,hBFA1,37C,R2,1.0,2408886,-2.25151716562147,840.592725409836
hBFA1-37C-R2-Time16,hBFA1:37C-R2-T16,hBFA1:37C-R2,hBFA1,37C,R2,2.0,2371746,-2.01716669009048,864.8989852133244
hBFA1-37C-R2-Time24,hBFA1:37C-R2-T24,hBFA1:37C-R2,hBFA1,37C,R2,3.0,1886703,7.750415840740022,631.1810437804849
hBFA1-37C-R2-Time40,hBFA1:37C-R2-T40,hBFA1:37C-R2,hBFA1,37C,R2,5.0,2169673,-3.397590231090427,611.0855532786885
hBFA1-48Hr-R1-Time8,hBFA1:48Hr-R1-T8,hBFA1:48Hr-R1,hBFA1,48Hr,R1,1.0,1374578,3.6546445521931554,477.1888256595965
hBFA1-48Hr-R1-Time16,hBFA1:48Hr-R1-T16,hBFA1:48Hr-R1,hBFA1,48Hr,R1,2.0,2073939,-3.708082748489859,720.5873807465015
hBFA1-48Hr-R1-Time24,hBFA1:48Hr-R1-T24,hBFA1:48Hr-R1,hBFA1,48Hr,R1,3.0,1913013,-1.4388946124510542,622.9493518517264
hBFA1-48Hr-R1-Time40,hBFA1:48Hr-R1-T40,hBFA1:48Hr-R1,hBFA1,48Hr,R1,5.0,2727518,1.8316327651394615,747.0858768753234
