M3-R1-T1,M3-R1-T2,M3-R1-T3,M3-R1-T4,M3-R2-T1,M3-R2-T2,M3-R2-T3,M3-R2-T4,M3-R3-T1,M3-R3-T2,M3-R3-T3,M3-R3-T4,M3-R4-T1,M3-R4-T2,M3-R4-T3,M3-R4-T4,EC3-R1-T1,EC3-R1-T2,EC3-R1-T3,EC3-R1-T4,EC3-R2-T1,EC3-R2-T2,EC3-R2-T3,EC3-R2-T4,EC3-R3-T1,EC3-R3-T2,EC3-R3-T3,EC3-R3-T4,EC23-R1-T1,EC23-R1-T2,EC23-R1-T3,EC23-R1-T4,EC23-R2-T1,EC23-R2-T2,EC23-R2-T3,EC23-R2-T4,EC23-R3-T1,EC23-R3-T2,EC23-R3-T3,EC23-R3-T4,EC21-R1-T1,EC21-R1-T2,EC21-R1-T3,EC21-R1-T4,EC21-R2-T1,EC21-R2-T2,EC21-R2-T3,EC21-R2-T4,EC21-R3-T1,EC21-R3-T2,EC21-R3-T3,EC21-R3-T4,EC20-R1-T1,EC20-R1-T2,EC20-R1-T3,EC20-R2-T1,EC20-R2-T2,EC20-R2-T3,EC20-R3-T1,EC20-R3-T2,EC20-R3-T3,EC18-R1-T1,EC18-R1-T2,EC18-R1-T3,EC18-R2-T1,EC18-R2-T2,EC18-R2-T3,EC18-R3-T1,EC18-R3-T2,EC18-R3-T3,EC13-R1-T1,EC13-R1-T2,EC13-R1-T3,EC13-R1-T4,EC13-R2-T1,EC13-R2-T2,EC13-R2-T3,EC13-R2-T4,EC13-R3-T1,EC13-R3-T2,EC13-R3-T3,EC13-R3-T4,Baffled-R1-T1,Baffled-R1-T2,Baffled-R1-T3,Baffled-R1-T4,Baffled-R2-T1,Baffled-R2-T2,Baffled-R2-T3,Baffled-R2-T4,1.8%Gluc-R1-T1,1.8%Gluc-R1-T2,1.8%Gluc-R1-T3,1.8%Gluc-R1-T4,1.8%Gluc-R2-T1,1.8%Gluc-R2-T2,1.8%Gluc-R2-T3,1.8%Gluc-R2-T4,1.6%Gluc-R1-T1,1.6%Gluc-R1-T2,1.6%Gluc-R1-T3,1.6%Gluc-R1-T4,1.6%Gluc-R2-T1,1.6%Gluc-R2-T2,1.6%Gluc-R2-T3,1.6%Gluc-R2-T4,1.5%Suc1%Raf-R1-T1,1.5%Suc1%Raf-R1-T2,1.5%Suc1%Raf-R1-T3,1.5%Suc1%Raf-R1-T4,1.4%Gluc-R1-T1,1.4%Gluc-R1-T2,1.4%Gluc-R1-T3,1.4%Gluc-R1-T4,1.4%Gluc-R2-T1,1.4%Gluc-R2-T2,1.4%Gluc-R2-T3,1.4%Gluc-R2-T4,0.5MKCl-R1-T1,0.5MKCl-R1-T2,0.5MKCl-R1-T3,0.5MKCl-R1-T4,0.5%Raf-R1-T1,0.5%Raf-R1-T2,0.5%Raf-R1-T3,0.5%Raf-R1-T4,0.5%Raf-R2-T1,0.5%Raf-R2-T2,0.5%Raf-R2-T3,0.5%Raf-R2-T4,0.2MKCl-R1-T1,0.2MKCl-R1-T2,0.2MKCl-R1-T3,0.2MKCl-R1-T4
6191.0,8361.0,574.0,2148.0,2775.0,17050.0,10057.0,18295.0,8268.0,15562.0,1846.0,11209.0,5916.0,3468.0,3720.0,2945.0,244.0,183.0,81.0,101.0,376.0,164.0,95.0,69.0,223.0,177.0,104.0,79.0,2019.0,2104.0,1529.0,1172.0,2406.0,2892.0,2292.0,1750.0,1856.0,2817.0,1772.0,1686.0,962.0,1883.0,985.0,1025.0,760.0,574.0,1144.0,1070.0,1889.0,1691.0,1945.0,1302.0,2785.0,1855.0,954.0,2493.0,1569.0,1495.0,2199.0,1775.0,1990.0,40.0,365.0,486.0,65.0,102.0,516.0,481.0,574.0,380.0,512.0,594.0,319.0,51.0,700.0,403.0,299.0,70.0,594.0,104.0,361.0,59.0,11213.0,3158.0,908.0,4044.0,8696.0,4901.0,7853.0,4079.0,6157.0,2544.0,380.0,466.0,4670.0,2662.0,363.0,341.0,121.0,113.0,120.0,245.0,102.0,212.0,146.0,116.0,1879.0,442.0,299.0,607.0,5289.0,1933.0,249.0,495.0,4131.0,1553.0,150.0,235.0,11230.0,6963.0,1183.0,1828.0,2713.0,3435.0,198.0,236.0,3076.0,1751.0,167.0,193.0,6361.0,7231.0,780.0,1934.0
165765.0,422624.0,62916.0,367191.0,66810.0,915046.0,1357544.0,4230603.0,224264.0,751263.0,187575.0,1956473.0,121243.0,138770.0,293532.0,443175.0,54722.0,102971.0,101137.0,217453.0,88884.0,127795.0,187235.0,209290.0,49070.0,95476.0,150720.0,229493.0,18428.0,40070.0,57945.0,83239.0,21698.0,42476.0,64251.0,93228.0,16341.0,40354.0,43842.0,73539.0,14470.0,50457.0,47319.0,79224.0,11899.0,16668.0,49533.0,76326.0,27178.0,36587.0,58512.0,70336.0,26566.0,35823.0,34463.0,24995.0,31769.0,49171.0,21013.0,25010.0,41128.0,6260.0,179028.0,491772.0,14745.0,49741.0,661420.0,66171.0,171156.0,367527.0,43106.0,160273.0,399304.0,223043.0,54385.0,107883.0,308884.0,241795.0,42068.0,20536.0,267212.0,145296.0,134512.0,75757.0,39864.0,404244.0,123926.0,128460.0,407379.0,497347.0,107559.0,89549.0,20215.0,55134.0,94363.0,105430.0,23514.0,54599.0,5096.0,13055.0,30405.0,141123.0,3330.0,17235.0,32195.0,65247.0,59385.0,17611.0,16887.0,31111.0,136115.0,103853.0,25061.0,105103.0,123119.0,93059.0,15122.0,53362.0,5267.0,237.0,46.0,46.0,98775.0,289984.0,30196.0,67673.0,122581.0,173982.0,31380.0,56512.0,59101.0,47035.0,3860.0,7283.0
4856.0,6961.0,523.0,1654.0,2054.0,11295.0,7406.0,12487.0,5251.0,11435.0,1357.0,8488.0,4522.0,2632.0,2995.0,2326.0,1148.0,751.0,280.0,214.0,1873.0,733.0,443.0,205.0,1199.0,703.0,369.0,233.0,1794.0,1776.0,1117.0,935.0,1867.0,2385.0,1902.0,1350.0,1674.0,2276.0,1406.0,1448.0,701.0,1422.0,680.0,897.0,437.0,415.0,761.0,887.0,1650.0,1471.0,1614.0,1146.0,2223.0,1335.0,542.0,2185.0,1225.0,1056.0,1772.0,1724.0,1680.0,149.0,1429.0,1460.0,331.0,417.0,1711.0,2356.0,2165.0,1312.0,2909.0,2582.0,1524.0,195.0,2977.0,1640.0,1028.0,161.0,2776.0,442.0,1036.0,209.0,8543.0,2355.0,798.0,2852.0,6808.0,3839.0,6019.0,2907.0,4727.0,1970.0,306.0,440.0,3453.0,2171.0,312.0,272.0,421.0,267.0,254.0,419.0,261.0,508.0,288.0,236.0,1647.0,379.0,267.0,462.0,3970.0,1650.0,195.0,355.0,3238.0,1243.0,129.0,218.0,8196.0,5068.0,1016.0,1497.0,2120.0,2587.0,147.0,198.0,2314.0,1222.0,124.0,156.0,4498.0,5200.0,605.0,1666.0
50871.0,111168.0,12981.0,64484.0,23085.0,272459.0,289504.0,759227.0,86444.0,230444.0,45782.0,390609.0,42988.0,42505.0,73141.0,91313.0,44047.0,50323.0,33279.0,61405.0,69906.0,62321.0,63313.0,51856.0,40006.0,48286.0,54598.0,63709.0,7283.0,13690.0,14120.0,19420.0,8379.0,13810.0,17528.0,20655.0,6361.0,13057.0,12541.0,19372.0,4008.0,14116.0,9158.0,17543.0,2997.0,3846.0,10795.0,17963.0,8336.0,9536.0,14683.0,16884.0,9278.0,8884.0,6847.0,8024.0,8257.0,9549.0,6011.0,7533.0,10797.0,3659.0,110050.0,206957.0,10151.0,27822.0,240271.0,57614.0,106658.0,156816.0,36510.0,92924.0,149876.0,45139.0,32361.0,59293.0,114393.0,50325.0,30864.0,14493.0,102630.0,32077.0,67806.0,33209.0,16715.0,145974.0,64492.0,64553.0,193034.0,213798.0,35574.0,26487.0,4974.0,10050.0,30660.0,29291.0,5363.0,9120.0,3180.0,4374.0,5983.0,15873.0,2385.0,6422.0,6826.0,8019.0,17469.0,4596.0,4148.0,6269.0,43059.0,28458.0,5785.0,18732.0,39863.0,26022.0,3529.0,9660.0,10366.0,1853.0,97.0,54.0,28351.0,66414.0,5804.0,9854.0,35398.0,40071.0,6373.0,9042.0,25329.0,26904.0,2371.0,5193.0
30016.0,61338.0,5636.0,26463.0,11163.0,119669.0,134225.0,307002.0,36974.0,102814.0,19134.0,156159.0,25379.0,19195.0,28529.0,32723.0,21699.0,30602.0,20805.0,34762.0,30903.0,30253.0,34032.0,27915.0,27190.0,41487.0,35132.0,42078.0,10771.0,21947.0,19119.0,24951.0,13978.0,21518.0,22756.0,25391.0,10719.0,19548.0,19028.0,21651.0,6132.0,20009.0,13641.0,22004.0,4184.0,5851.0,17577.0,25565.0,14282.0,17392.0,23714.0,18469.0,15875.0,17416.0,8853.0,15272.0,12063.0,11886.0,11231.0,10482.0,16967.0,1810.0,44467.0,98782.0,6676.0,14450.0,123080.0,23651.0,58251.0,70724.0,21956.0,46277.0,79897.0,25842.0,23483.0,33707.0,57846.0,25732.0,22294.0,7626.0,56967.0,14473.0,50235.0,22132.0,9878.0,82992.0,47021.0,45894.0,131776.0,150927.0,22488.0,11867.0,1657.0,3783.0,17533.0,12238.0,2012.0,3159.0,2047.0,3268.0,4498.0,13125.0,1330.0,4385.0,4424.0,5924.0,6691.0,1490.0,1241.0,1698.0,24466.0,14523.0,1956.0,9075.0,24428.0,12904.0,1217.0,3397.0,13880.0,3763.0,255.0,284.0,13604.0,27372.0,1546.0,2836.0,17285.0,14678.0,1765.0,2547.0,14632.0,14957.0,1163.0,3159.0
63016.0,156398.0,22010.0,139953.0,20541.0,321718.0,522756.0,1325561.0,80420.0,208810.0,50440.0,477774.0,32568.0,32480.0,63462.0,83316.0,5214.0,12272.0,10055.0,23701.0,7395.0,13246.0,19322.0,19037.0,5743.0,13150.0,16067.0,23512.0,9800.0,21507.0,20307.0,47451.0,12693.0,25130.0,40016.0,59808.0,9663.0,20309.0,24235.0,34309.0,4227.0,17703.0,13691.0,43426.0,2080.0,3646.0,14316.0,39426.0,13388.0,19302.0,34656.0,35805.0,13140.0,14897.0,8055.0,17538.0,14345.0,17854.0,7676.0,10853.0,22091.0,323.0,7858.0,22413.0,897.0,2227.0,24891.0,3279.0,9988.0,16890.0,2745.0,7695.0,17769.0,6479.0,4386.0,7096.0,18873.0,10333.0,3120.0,1194.0,10745.0,3889.0,32395.0,14674.0,6836.0,75533.0,26253.0,21021.0,52306.0,56155.0,29165.0,19871.0,3320.0,9052.0,24772.0,23754.0,4210.0,9445.0,207.0,269.0,414.0,1321.0,147.0,400.0,387.0,506.0,22052.0,4757.0,4328.0,6260.0,54101.0,42167.0,9142.0,44366.0,54093.0,41226.0,5919.0,21181.0,430.0,21.0,12.0,12.0,39901.0,117619.0,8845.0,17109.0,42377.0,61993.0,8622.0,12593.0,10655.0,4874.0,199.0,217.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3045.0,5009.0,4149.0,7576.0,3923.0,5617.0,7440.0,5490.0,3455.0,6391.0,6890.0,9219.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,0.0,1.0,3.0,3.0,0.0,288.0,7053.0,18735.0,870.0,2186.0,20191.0,3640.0,9387.0,12868.0,2335.0,5985.0,10823.0,3551.0,3792.0,5549.0,10856.0,5295.0,3057.0,1073.0,7252.0,2271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,229.0,278.0,902.0,97.0,305.0,354.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4444.0,5623.0,492.0,1112.0,1738.0,11590.0,7182.0,13072.0,5074.0,10514.0,1337.0,7762.0,4285.0,2444.0,2482.0,1953.0,34.0,26.0,15.0,8.0,30.0,12.0,10.0,5.0,32.0,24.0,15.0,13.0,1362.0,1427.0,941.0,758.0,1665.0,2026.0,1642.0,1184.0,1418.0,1975.0,1236.0,1214.0,625.0,1139.0,581.0,708.0,449.0,373.0,766.0,760.0,1337.0,1299.0,1419.0,965.0,1707.0,1160.0,520.0,1820.0,1049.0,951.0,1668.0,1348.0,1541.0,1.0,29.0,28.0,8.0,15.0,51.0,66.0,47.0,42.0,64.0,81.0,34.0,6.0,57.0,27.0,23.0,3.0,65.0,7.0,21.0,6.0,7766.0,1696.0,407.0,1924.0,5889.0,3032.0,4142.0,2380.0,4948.0,1825.0,240.0,331.0,3430.0,1763.0,239.0,251.0,29.0,20.0,25.0,28.0,19.0,39.0,21.0,20.0,1051.0,253.0,208.0,411.0,3880.0,1333.0,172.0,358.0,3022.0,1078.0,77.0,130.0,8469.0,4965.0,759.0,1311.0,1872.0,2507.0,117.0,161.0,2131.0,1123.0,89.0,90.0,4596.0,5222.0,488.0,1370.0
16093.0,40542.0,6959.0,42189.0,5791.0,87938.0,143125.0,415941.0,21448.0,57960.0,15485.0,155916.0,8893.0,9497.0,20722.0,29939.0,9479.0,20350.0,17421.0,43689.0,14861.0,26097.0,37021.0,37278.0,9800.0,25078.0,30358.0,44264.0,1662.0,4609.0,6443.0,8735.0,2872.0,4947.0,6868.0,11144.0,2039.0,3726.0,4121.0,5118.0,2858.0,7889.0,8680.0,13240.0,2159.0,2954.0,9420.0,14578.0,4310.0,6700.0,11319.0,10807.0,4424.0,8476.0,7777.0,5123.0,5934.0,9725.0,3508.0,3212.0,6053.0,532.0,12323.0,33406.0,1707.0,4122.0,44174.0,5002.0,12919.0,21290.0,5462.0,15647.0,28198.0,12087.0,7846.0,11789.0,27943.0,15622.0,6551.0,1937.0,26988.0,9622.0,8211.0,3334.0,1603.0,20701.0,7119.0,5608.0,14592.0,16486.0,8528.0,6423.0,1265.0,3585.0,7168.0,7799.0,1629.0,4385.0,328.0,459.0,670.0,1955.0,282.0,601.0,661.0,728.0,6132.0,1673.0,1540.0,2690.0,14225.0,10458.0,2899.0,12532.0,13083.0,10294.0,1875.0,6858.0,55.0,7.0,3.0,7.0,11240.0,35191.0,3352.0,6862.0,10560.0,17046.0,3078.0,4893.0,1848.0,572.0,16.0,12.0
4930.0,5951.0,391.0,1228.0,1837.0,13865.0,8535.0,15010.0,6905.0,11409.0,1473.0,8453.0,4645.0,2471.0,2237.0,1855.0,348.0,218.0,127.0,118.0,543.0,266.0,176.0,99.0,363.0,258.0,156.0,131.0,2265.0,2402.0,1699.0,1111.0,2788.0,3224.0,2360.0,1640.0,2464.0,3122.0,2181.0,1717.0,1278.0,2139.0,1184.0,967.0,895.0,740.0,1355.0,1142.0,2224.0,1972.0,2309.0,1286.0,2869.0,2206.0,990.0,3155.0,1921.0,1755.0,3148.0,2119.0,2470.0,45.0,405.0,475.0,119.0,145.0,608.0,571.0,625.0,420.0,937.0,936.0,581.0,79.0,1094.0,601.0,397.0,77.0,910.0,141.0,426.0,61.0,8991.0,2052.0,535.0,2215.0,6748.0,3254.0,4516.0,2398.0,5481.0,2202.0,243.0,333.0,4089.0,2280.0,251.0,272.0,174.0,152.0,150.0,221.0,117.0,225.0,144.0,114.0,1394.0,309.0,195.0,416.0,4558.0,1591.0,174.0,447.0,3582.0,1239.0,89.0,152.0,9544.0,6229.0,884.0,1571.0,2083.0,2831.0,107.0,154.0,2386.0,1399.0,103.0,127.0,5258.0,6008.0,540.0,1307.0
